FormLayoutItemID|UIGridLayoutParentID|SortOrder|WidgetItemType|DisplayTitle|TransactionFieldID|DataBaseFieldName|FieldTable|GridTransactionUnitID|GridTable|WDT|AttrName|ColSpan|NbCol|Collapsible|IsTab|Bind|EntityId
----------------|--------------------|---------|--------------|------------|------------------|-----------------|----------|---------------------|---------|---|--------|-------|-----|-----------|-----|----|--------
5545|NULL|1|NULL||NULL|NULL|NULL|NULL|NULL|101|NULL|NULL|NULL|false|false|false|NULL
5546|5545|1|NULL||NULL|NULL|NULL|NULL|NULL|102|Stack Container|24|2|false|false|false|NULL
5547|5546|1|NULL||NULL|NULL|NULL|NULL|NULL|101|NULL|NULL|NULL|false|false|false|NULL
5576|5546|2|NULL||NULL|NULL|NULL|NULL|NULL|101|NULL|NULL|NULL|false|false|false|NULL
5548|5547|1|NULL||NULL|NULL|NULL|NULL|NULL|102|Product / Style Spec|24|2|true|false|false|NULL
5549|5548|1|NULL||NULL|NULL|NULL|NULL|NULL|101|NULL|NULL|NULL|false|false|false|NULL
5550|5549|1|NULL||NULL|NULL|NULL|NULL|NULL|102|Stack Container|12|1|false|false|false|NULL
5563|5549|2|NULL||NULL|NULL|NULL|NULL|NULL|102|Stack Container|12|1|false|false|false|NULL
5551|5550|1|NULL||NULL|NULL|NULL|NULL|NULL|101|NULL|NULL|NULL|false|false|false|NULL
5561|5550|6|NULL||NULL|NULL|NULL|NULL|NULL|101|NULL|NULL|NULL|false|false|false|NULL
5552|5551|1|NULL||7059|ReferenceCode|Plm_ReferenceBasicInfo|NULL|NULL|2|Reference Code|24|NULL|false|false|true|NULL
5562|5561|1|NULL||7082|UnitOfMeasure|TchpStyleSpec|NULL|NULL|2|Unit Of Measure|24|NULL|false|false|true|NULL
5590|5563|7|NULL|NULL|NULL|NULL|NULL|NULL|NULL|101|NULL|NULL|NULL|false|false|false|NULL
5591|5563|8|NULL|NULL|NULL|NULL|NULL|NULL|NULL|101|NULL|NULL|NULL|false|false|false|NULL
5577|5576|1|NULL||NULL|NULL|NULL|NULL|NULL|102|Stack Container|24|1|false|false|false|NULL
5578|5577|1|NULL||NULL|NULL|NULL|NULL|NULL|101|NULL|NULL|NULL|false|false|false|NULL
5579|5578|1|NULL||NULL|NULL|NULL|NULL|NULL|107|Tab Container|24|1|false|false|false|NULL
5585|5579|2|NULL||NULL|NULL|NULL|NULL|NULL|102|QC Orders|NULL|1|false|true|false|NULL
5580|5579|3|NULL||NULL|NULL|NULL|NULL|NULL|102|QC Summary|NULL|1|false|true|false|NULL
5581|5580|1|NULL||NULL|NULL|NULL|NULL|NULL|101|NULL|NULL|NULL|false|false|false|NULL
5582|5581|1|NULL||NULL|NULL|NULL|NULL|NULL|102|Stack Container|24|1|false|false|false|NULL
5583|5582|1|NULL||NULL|NULL|NULL|NULL|NULL|101|NULL|NULL|NULL|false|false|false|NULL
5584|5583|1|NULL||NULL|NULL|NULL|273|View_TchpProductQcSummary|6|QC Summary|24|NULL|false|false|true|NULL
5586|5585|1|NULL||NULL|NULL|NULL|NULL|NULL|101|NULL|NULL|NULL|false|false|false|NULL
5587|5586|1|NULL||NULL|NULL|NULL|NULL|NULL|102|Stack Container|24|1|false|false|false|NULL
5588|5587|1|NULL||NULL|NULL|NULL|NULL|NULL|101|NULL|NULL|NULL|false|false|false|NULL
5589|5588|1|NULL||NULL|NULL|NULL|274|tchpqcorder|6|QC Orders|24|NULL|false|false|true|NULL
5558|5590|1|NULL||7080|SizeRunId|TchpStyleSpec|NULL|NULL|2|Size Run Id|24|NULL|false|false|true|NULL
5560|5591|1|NULL||7081|BaseSizeDetailId|TchpStyleSpec|NULL|NULL|2|Base Size Detail Id|24|NULL|false|false|true|NULL
